sourceProductId	targetSlug	targetName	targetSku	sourceImageUrl	targetImageFile
4063	ao-bong-da-tre-em-x24-bd-ae92b6-do-do-055	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đỏ đô	X24-BD-DBX-KID-055	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-ae92b6-do-do-055.webp	ao-bong-da-tre-em-x24-bd-ae92b6-do-do-055.webp
4064	ao-bong-da-tre-em-x24-bd-835b68-tim-056	Áo bóng đá trẻ em mẫu thiết kế riêng màu Tím	X24-BD-DBX-KID-056	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-835b68-tim-056.webp	ao-bong-da-tre-em-x24-bd-835b68-tim-056.webp
4065	ao-bong-da-tre-em-x24-bd-b521c2-trang-057	Áo bóng đá trẻ em mẫu thiết kế riêng màu Trắng	X24-BD-DBX-KID-057	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-b521c2-trang-057.webp	ao-bong-da-tre-em-x24-bd-b521c2-trang-057.webp
4066	ao-bong-da-tre-em-x24-bd-a0a8de-xanh-ve-chai-058	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh ve chai	X24-BD-DBX-KID-058	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-a0a8de-xanh-ve-chai-058.webp	ao-bong-da-tre-em-x24-bd-a0a8de-xanh-ve-chai-058.webp
4067	ao-bong-da-tre-em-x24-bd-a85ae5-do-059	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đỏ	X24-BD-DBX-KID-059	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-a85ae5-do-059.webp	ao-bong-da-tre-em-x24-bd-a85ae5-do-059.webp
4068	ao-bong-da-tre-em-x24-bd-daa5bb-trang-060	Áo bóng đá trẻ em mẫu thiết kế riêng màu Trắng	X24-BD-DBX-KID-060	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-daa5bb-trang-060.webp	ao-bong-da-tre-em-x24-bd-daa5bb-trang-060.webp
4069	ao-bong-da-tre-em-x24-bd-d97033-vang-061	Áo bóng đá trẻ em mẫu thiết kế riêng màu Vàng	X24-BD-DBX-KID-061	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-d97033-vang-061.webp	ao-bong-da-tre-em-x24-bd-d97033-vang-061.webp
4070	ao-bong-da-tre-em-x24-bd-702908-nhieu-mau-062	Áo bóng đá trẻ em mẫu thiết kế riêng màu Nhiều màu	X24-BD-DBX-KID-062	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-702908-nhieu-mau-062.webp	ao-bong-da-tre-em-x24-bd-702908-nhieu-mau-062.webp
4071	ao-bong-da-tre-em-x24-bd-04287f-xanh-ngoc-063	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh ngọc	X24-BD-DBX-KID-063	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-04287f-xanh-ngoc-063.webp	ao-bong-da-tre-em-x24-bd-04287f-xanh-ngoc-063.webp
4072	ao-bong-da-tre-em-x24-bd-7a5a54-cam-064	Áo bóng đá trẻ em mẫu thiết kế riêng màu Cam	X24-BD-DBX-KID-064	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-7a5a54-cam-064.webp	ao-bong-da-tre-em-x24-bd-7a5a54-cam-064.webp
